event_id,organizer_id,name,date,time,duration,address,postalcode,time_of_day,physical_intensity,tags
E0001,1000462,Yoga Meetup,2025-05-14,7:15,90,"86564 Richard Road Apt. 487, Toronto, ON M9A 0A3",M9A 0A3,Early Morning,Medium,"Team Sports, Improve Health, Social, Cycling, Weight Loss, Yoga"
E0002,1000232,Weight Loss Meetup,2025-05-17,13:45,45,"642 Taylor Cove, Toronto, ON M9A 0B2",M9A 0B2,Afternoon,Low,"Weight Training, Social, Weight Loss, Yoga, Training, Pilates"
E0003,1000137,Weight Loss Meetup,2025-05-12,14:45,90,"1280 Obrien Meadows Apt. 687, Toronto, ON M9A 0A5",M9A 0A5,Afternoon,Medium,"Improve Health, Weight Training, Running, Weight Loss, Training, Group Fitness Class"
E0004,1000315,Improve Health Meetup,2025-05-13,20:15,75,"65676 John Shoals, Toronto, ON M9A 0A4",M9A 0A4,Late Evening,Medium,"Team Sports, Improve Health, Cycling, Weight Loss, Reduce Stress, Group Fitness Class"
E0005,1000198,Swimming Meetup,2025-05-13,7:00,60,"62531 Perry Landing, Toronto, ON M9A 0A5",M9A 0A5,Early Morning,Medium,"Improve Health, Social, Swimming, Walking, Yoga, Reduce Stress"
E0006,1000440,Hiking Meetup,2025-05-17,20:45,90,"5198 Jay Mission Apt. 399, Toronto, ON M9A 2V5",M9A 2V5,Late Evening,Low,"Improve Health, Hiking, Social, Walking, Training, Group Fitness Class"
E0007,1000261,Running Meetup,2025-05-17,12:00,90,"8625 Estrada Summit, Toronto, ON M9A 2V5",M9A 2V5,Mid Morning,Low,"Improve Health, Running, Social, Cycling, Build Strength, Yoga"
E0008,1000068,Weight Training Meetup,2025-05-15,12:00,60,"3053 Kristina Shores, Toronto, ON M9A 0B5",M9A 0B5,Mid Morning,Low,"Improve Health, Weight Training, Hiking, Social, Build Strength, Pilates"
E0009,1000401,Team Sports Meetup,2025-05-15,21:30,120,"5749 Wong Flat, Toronto, ON M9A 0B2",M9A 0B2,Late Evening,Low,"Team Sports, Improve Health, Hiking, Weight Loss, Reduce Stress, Pilates"
E0010,1000463,Improve Health Meetup,2025-05-18,7:15,45,"08856 Alexander Field Suite 643, Toronto, ON M9A 0A3",M9A 0A3,Early Morning,High,"Improve Health, Weight Training, Swimming, Build Strength, Weight Loss, Pilates"
E0011,1000435,Pilates Meetup,2025-05-14,8:15,120,"3178 Jennifer Turnpike Suite 548, Toronto, ON M9A 0A4",M9A 0A4,Early Morning,Low,"Running, Weight Loss, Training, Jogging, Reduce Stress, Pilates"
E0012,1000083,Team Sports Meetup,2025-05-15,20:30,60,"5582 Pierce Trail Apt. 446, Toronto, ON M9A 0A6",M9A 0A6,Late Evening,High,"Team Sports, Hiking, Build Strength, Weight Loss, Jogging, Reduce Stress"
E0013,1000112,Build Strength Meetup,2025-05-17,12:00,30,"686 Jean Turnpike, Toronto, ON M9A 0A5",M9A 0A5,Evening,High,"Improve Health, Hiking, Cycling, Walking, Build Strength, Weight Loss"
E0014,1000109,Group Fitness Class Meetup,2025-05-14,12:00,90,"48445 Thompson Alley, Toronto, ON M9A 0A4",M9A 0A4,Mid Morning,Low,"Improve Health, Hiking, Social, Cycling, Build Strength, Group Fitness Class"
E0015,1000417,Yoga Meetup,2025-05-16,12:00,60,"74434 Hensley Circle, Toronto, ON M9A 2V6",M9A 2V6,Lunch,Medium,"Improve Health, Hiking, Yoga, Training, Jogging, Reduce Stress"
E0016,1000499,Yoga Meetup,2025-05-14,12:00,45,"4023 Castillo Drive Apt. 461, Toronto, ON M9A 0B2",M9A 0B2,Evening,Low,"Improve Health, Walking, Yoga, Training, Reduce Stress, Group Fitness Class"
E0017,1000131,Group Fitness Class Meetup,2025-05-17,19:45,30,"64040 Sarah Lock, Toronto, ON M9A 0A6",M9A 0A6,Late Evening,Low,"Weight Training, Hiking, Build Strength, Weight Loss, Reduce Stress, Group Fitness Class"
